Data,PIB - preços de mercado (preços 2010) - R$ de 2010 - Instituto Brasileiro de Geografia e Estatística- Sistema de Contas Nacionais (IBGE/SCN Anual) - SCN10_PIBP10,
1900,21703.3798219795,
1901,24820.9923930926,
1902,24701.0842172806,
1903,25180.7169205287,
1904,25540.4414479649,
1905,26379.7986786492,
1906,29737.2276013863,
1907,29977.0439530104,
1908,29017.7785465141,
1909,32015.4829418151,
1910,32854.8401724994,
1911,34773.3709854921,
1912,37171.5345017329,
1913,38250.7080840413,
1914,37771.0753807931,
1915,37890.9835566051,
1916,38250.7080840413,
1917,41847.9533584025,
1918,41008.5961277182,
1919,44246.1168746434,
1920,49761.8929619973,
1921,50707.3689282752,
1922,54662.5437046807,
1923,59363.5224632832,
1924,60194.6117777692,
1925,60194.6117777692,
1926,63324.7315902132,
1927,70163.8026019562,
1928,78232.6399011812,
1929,79093.1989400941,
1930,77432.2417623522,
1931,74876.9777841945,
1932,78096.6878289149,
1933,85047.2930456883,
1934,92871.6440058916,
1935,95657.7933260684,
1936,107232.386318523,
1937,112165.076089175,
1938,117212.504513188,
1939,120142.817126017,
1940,118941.388954757,
1941,124769.51701354,
1942,121400.740054175,
1943,131719.802958779,
1944,141730.507983647,
1945,146265.884239123,
1946,163232.726810862,
1947,167150.312254322,
1948,183363.892542992,
1949,197482.912268802,
1950,210911.750303081,
1951,221246.426067931,
1952,237397.41517089,
1953,248555.093683922,
1954,267942.390991268,
1955,291521.3213985,
1956,299975.439719056,
1957,323073.548577424,
1958,357965.491823786,
1959,393046.110022517,
1960,429992.444364633,
1961,466971.794579992,
1962,497791.933022271,
1963,500778.684620405,
1964,517805.159897498,
1965,530232.483735038,
1966,565758.060145286,
1967,589519.898671388,
1968,647292.848741184,
1969,708785.669371596,
1970,782499.378986242,
1971,871257.673141854,
1972,975288.872304538,
1973,1111524.26142492,
1974,1202157.26816565,
1975,1264268.51565033,
1976,1393946.17496811,
1977,1462728.05235732,
1978,1535424.1400314,
1979,1639212.05790515,
1980,1790019.56723242,
1981,1713943.73562505,
1982,1728169.46863073,
1983,1677534.10319985,
1984,1768120.94477264,
1985,1906918.4389373,
1986,2049746.6300137,
1987,2122102.68605318,
1988,2120829.42444155,
1989,2187847.63425391,
1990,2092676.26216386,
1991,2114276.64859951,
1992,2102773.46027302,
1993,2206328.53469126,
1994,2335462.08363927,
1995,2434107.18244427,
1996,2487873.30094828,
1997,2572332.76782527,
1998,2581029.77094452,
1999,2593107.37884995,
2000,2706891.61965341,
2001,2744514.60894755,
2002,2828317.31568706,
2003,2860583.57980168,
2004,3025352.18240608,
2005,3122227.95463224,
2006,3245930.27366385,
2007,3442954.04127944,
2008,3618344.84933116,
2009,3613792.53720108,
2010,3885847,
2011,4040287,
2012,4117908.0235729,
2013,4241643.85740686,
2014,4263019.86510821,
2015,4111863.26727473,
2016,3977162.04333727,
2017,4029774.68923236,
2018,4082855.84845965,
